"Nearest Building","X","Y","Latitude","Longitude","Site ID","Species","DBH","Multi-stem","Arbor Day / Tree Campus USA","Donor","Donor Tree","State Champion Tree","Tree Trail"
"Activities & Recreation Center",1011061.38377356,1250816.36833849,40.1012752367,-88.2374899779,7428,"oak, northern red (Quercus rubra)",24,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010996.08242489,1250618.79523803,40.1007330694,-88.2377241712,7429,"linden, littleleaf (Tilia cordata)",7,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011003.45547442,1250625.55844228,40.1007516133,-88.2376977888,7430,"linden, littleleaf (Tilia cordata)",8,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010185.21158447,1245875.65676221,40.0877149641,-88.2406404521,12493,"oak, swamp white (Quercus bicolor)",10,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010184.95570524,1245844.65580973,40.0876298636,-88.240641482,12500,"oak, swamp white (Quercus bicolor)",11,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010186.72543032,1245805.61969819,40.0875226998,-88.2406353024,12507,"oak, swamp white (Quercus bicolor)",10,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010187.92179856,1245763.71248389,40.0874076561,-88.2406311826,12514,"oak, swamp white (Quercus bicolor)",12,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010194.59413173,1245721.23681592,40.0872910363,-88.2406074939,12521,"oak, swamp white (Quercus bicolor)",8,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1009799.20888411,1245527.06109304,40.0867591234,-88.2420213092,12685,"Stump, (Stump)",5,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1009829.0029096,1245526.38510947,40.0867571837,-88.2419148289,12694,"beech, European (Fagus sylvatica)",8,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1009859.85989299,1245526.77012153,40.0867581535,-88.2418045458,12707,"beech, European (Fagus sylvatica)",8,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1009850.21081726,1245597.41786741,40.0869521172,-88.2418387716,12721,"sweetgum, American (Liquidambar styraciflua)",24,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1009901.28890497,1245593.58427731,40.0869414492,-88.241656234,12731,"sweetgum, American (Liquidambar styraciflua)",30,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1009884.30058506,1245558.23796328,40.0868444675,-88.2417170799,12741,"oak, northern red (Quercus rubra)",36,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010139.11051404,1245701.49901482,40.0872370122,-88.2408058652,12866,"oak, swamp white (Quercus bicolor)",9,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010131.55858548,1245746.84128111,40.0873615037,-88.2408326872,12878,"oak, swamp white (Quercus bicolor)",12,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010128.51523512,1245786.70628576,40.0874709465,-88.240843416,12887,"oak, swamp white (Quercus bicolor)",13,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010127.46694309,1245832.55351144,40.0875968056,-88.2408469923,12898,"oak, swamp white (Quercus bicolor)",11,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010072.40015065,1245863.39407367,40.0876816235,-88.241043687,12907,"planetree, London (Platanus x acerifolia)",24,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010041.37647419,1245867.34872201,40.0876925678,-88.2411545513,12918,"planetree, London (Platanus x acerifolia)",26,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1010012.8574635,1245868.31589234,40.0876953038,-88.241256475,12926,"maple, sugar (Acer saccharum)",12,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1009947.81234549,1245872.23546424,40.0877062481,-88.2414889325,12938,"maple, sugar (Acer saccharum)",12,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1009923.29997822,1245869.22007302,40.0876980399,-88.2415765512,12948,"maple, sugar (Acer saccharum)",16,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1009883.77249717,1245871.67109084,40.08770488,-88.2417178138,12956,"planetree, London (Platanus x acerifolia)",24,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1009905.36508228,1245751.71870207,40.0873755355,-88.2416410835,13221,"Stump, (Stump)",6,"No","No ",,"N/A","No ","N/A"
"Admin Information Technology Bldg",1009922.38564997,1245742.26755112,40.0873495428,-88.2415802869,13233,"hawthorn, green (Crataegus viridis)",9,"No"," ",,"N/A"," ","N/A"
"Admin Information Technology Bldg",1009900.95462804,1245659.68885738,40.0871229151,-88.2416571853,13238,"sweetgum, American (Liquidambar styraciflua)",24,"No"," ",,"N/A"," ","N/A"
